doi,title,theory,confidence_raw,source
10.1159/000094607,An original approach to aging: an appreciation of Fritz Verzár's contribution in the light of the last 50 years of gerontological facts and thinking.,Evolutionary Theories of Aging (Antagonistic Pleiotropy and Disposable Soma),"high (as a known theory, but low focus here)",full_text
10.1111/joim.13141,Senolytic drugs: from discovery to translation.,Unitary Theory of Fundamental Aging Processes,medium-high,full_text
10.1111/joim.13141,Senolytic drugs: from discovery to translation.,Geroscience Hypothesis,medium-high,full_text
10.18632/aging.100580,M(o)TOR of aging: MTOR as a universal molecular hypothalamus.,Cellular Senescence as a Driver of Systemic Aging via MTOR Hyperfunction,medium-high,full_text
10.1016/j.arr.2022.101770,Modalities of aging in organisms with different strategies of resource allocation.,Growth Arrest and Aging Conflict Theory,medium to high,full_text
10.1111/1365-2745.12089,Plants do not count… or do they? New perspectives on the universality of senescence.,Negative Senescence and Indeterminate Growth Theory,medium-high,full_text
10.1186/s41232-020-00138-3,Aging and leukemic evolution of hematopoietic stem cells under various stress conditions.,Cell Polarity and Cdc42 Activity Theory of HSC Aging,medium-high,full_text
10.1186/s41232-020-00138-3,Aging and leukemic evolution of hematopoietic stem cells under various stress conditions.,Senescence and Senescence-Associated Secretory Phenotype (SASP) Theory of HSC Aging,medium-high,full_text
10.1016/j.jaging.2021.100954,"Experiences and motives of retirement-aged workers during the first wave of COVID-19 in Slovenia: ""This was the first time in 40 years that I really saw spring"".",Disengagement theory (historical comparison),"high (as a known theory, but low focus here)",full_text
10.1016/j.jaging.2021.100954,"Experiences and motives of retirement-aged workers during the first wave of COVID-19 in Slovenia: ""This was the first time in 40 years that I really saw spring"".",Activity theory of aging,high (established theory),full_text
10.1093/gerona/glt090,Increased metabolic flexibility and complexity in a long-lived growth hormone insensitive mouse model.,Metabolic Flexibility as a Mechanism of Healthy Aging,medium-high,full_text
10.1093/molbev/msp293,An evolutionary genome scan for longevity-related natural selection in mammals.,Mitochondrial Free Radical and DNA Damage Theory of Aging (Critiqued),"high (as a known theory, but low confidence in this paper's support)",full_text
10.3390/ijms22073404,Stiffness and Aging in Cardiovascular Diseases: The Dangerous Relationship between Force and Senescence.,Cytoskeletal Alterations and Increased Cellular Stiffness in Aging,medium-high,full_text
10.3389/fgene.2012.00259,"The Intersection of Aging, Longevity Pathways, and Learning and Memory in C. elegans.",Neuronal Aging and Cognitive Decline Theory,medium-high,full_text
10.1016/j.celrep.2019.11.091,"Patterns of Aging Biomarkers, Mortality, and Damaging Mutations Illuminate the Beginning of Aging and Causes of Early-Life Mortality.",Antagonistic pleiotropy and disposable soma theories (discussed in context),high (classical theory),full_text
10.1016/j.arr.2021.101301,"Late-onset hypogonadism: Clinical evidence, biological aspects and evolutionary considerations.",Testosterone-driven anabolic versus maintenance program antagonism theory,medium-high,full_text
10.1111/evo.13633,Encephalization and longevity evolved in a correlated fashion in Euarchontoglires but not in other mammals.,Antagonistic Pleiotropy and Disposable Soma Theories (Referenced),high (established theories),full_text
10.3389/fgene.2016.00216,Empirical Validation of a Hypothesis of the Hormetic Selective Forces Driving the Evolution of Longevity Regulation Mechanisms.,Evolutionary Theories of Programmed and Non-Programmed Aging (Discussed for Future Testing),"high (established theories), but low as focus of this paper",full_text
10.3389/fnagi.2021.718426,Innate Immune System Activation and Neuroinflammation in Down Syndrome and Neurodegeneration: Therapeutic Targets or Partners?,Granulocyte-Macrophage Colony-Stimulating Factor (GM-CSF) Modulation of Cognitive Aging,medium-high,full_text
10.1210/er.2009-0024,From estrogen-centric to aging and oxidative stress: a revised perspective of the pathogenesis of osteoporosis.,Wnt/β-Catenin Signaling Modulation by Oxidative Stress Theory,medium-high,full_text
10.1111/1365-2435.13458,Why leveraging sex differences in immune trade-offs may illuminate the evolution of senescence.,Sex differences in immune function as a driver of senescence evolution,medium to high,full_text
10.3389/fragi.2021.655315,"From Autonomy to Integration, From Integration to Dynamically Balanced Integrated Co-existence: Non-aging as the Third Stage of Development.",Integrative Genome (IntG) and Housekeeping Genome (THG) Functional Pleiotropy Theory,medium-high,full_text
10.1007/s10548-011-0198-6,Age-related changes in the thickness of cortical zones in humans.,Sequential Developmental-Sensory Model of Cortical Aging,medium-high,full_text
10.1038/s41420-025-02655-x,Hallmarks and mechanisms of cellular senescence in aging and disease.,TIPE2-Mediated Regulation of SASP and Cellular Senescence in Osteoarthritis,low to medium,full_text
10.3389/fimmu.2019.02247,Immunosenescence and Its Hallmarks: How to Oppose Aging Strategically? A Review of Potential Options for Therapeutic Intervention.,Role of Chronic Antigenic Load and Memory T Cell Inflation,medium-high,full_text
10.1002/bies.950181211,Human senescence.,Network Theory of Aging,medium-high,full_text
10.1016/j.cell.2020.06.024,Pathogenic Mechanisms of Somatic Mutation and Genome Mosaicism in Aging.,Clonal Expansion of Somatic Mutations Leading to Disease and Aging,medium-high,full_text
10.1016/j.cell.2020.06.024,Pathogenic Mechanisms of Somatic Mutation and Genome Mosaicism in Aging.,Gene Regulatory Network (GRN) Disruption by Somatic Mutations,medium-high,full_text
10.14336/AD.2017.0103,The Biology of Aging and Cancer: A Brief Overview of Shared and Divergent Molecular Hallmarks.,Epigenetic Alterations Theory in Aging and Cancer,medium-high,full_text
10.1016/0531-5565(95)02020-9,The role of DNA damage in cellular aging: is it time for a reassessment?,Programmed Cellular Senescence via Specific Gene Activation,medium-high,full_text
10.1016/s0531-5565(99)00075-3,Genetics of aging: lessons from centenarians.,Genetic Programmed Aging via Senescence-Associated Genes,medium-high,full_text
10.1042/CS20191213,"Inflammageing in the cardiovascular system: mechanisms, emerging targets, and novel therapeutic strategies.",NLRP3 inflammasome activation theory in aging,medium-high,full_text
10.1002/bies.201100189,The mystery of C. elegans aging: an emerging role for fat. Distant parallels between C. elegans aging and metabolic syndrome?,Oxidative Damage Theory of Aging (Critiqued),"high (as a classical theory, but here critiqued)",full_text
10.1002/iub.1627,Ketone bodies mimic the life span extending properties of caloric restriction.,Caloric Restriction-Induced Ketosis as a Mechanism for Lifespan Extension,medium-high,full_text
10.1097/01.hco.0000175517.50181.89,Molecular pathology of aging and its implications for senescent coronary atherosclerosis.,Sirtuin-Mediated Longevity Regulation Theory,medium-high,full_text
10.1016/j.mad.2016.09.009,Interventions for age-related diseases: Shifting the paradigm.,Pharmacological Targeting of Aging Mechanisms,medium (intervention framework rather than pure theory),full_text
10.2190/9TE3-T1G1-333V-3DT8,Generative acts: family and community involvement of older Australians.,Grand-Generativity Theory,medium-high,full_text
10.1890/14-2205.1,"Interrelations between senescence, life-history traits, and behavior in planktonic copepods.",Optimal Resource Allocation Theory in Ageing,medium-high,full_text
10.1038/s44319-025-00536-z,Dysfunctional mitochondria in ageing T cells: a perspective on mitochondrial quality control mechanisms.,Asymmetric mitochondrial inheritance theory in T cell fate and aging,medium-high,full_text
10.1111/evo.12464,Reduced lifespan and increased ageing driven by genetic drift in small populations.,Antagonistic Pleiotropy Theory of Aging (discussed and critiqued),"high (as a theory generally), but medium in context of this paper",full_text
10.1089/109454503765361560,The role of somatic and germline mutations in aging and a mutation interaction model of aging.,Mutation Interaction Model of Aging,medium to high,full_text
10.1089/rej.2009.0980,MicroRNA-regulated protein-protein interaction networks: how could they help in searching for pro-longevity targets?,Network-Based Systems Theory of Aging,medium-high,full_text
10.1089/ars.2017.7105,A Tale of Two Concepts: Harmonizing the Free Radical and Antagonistic Pleiotropy Theories of Aging.,Integrated Chemical Damage and Evolutionary Constraint Theory,medium to high,full_text
10.21037/sci.2019.02.04,Telomere shortening as a hallmark of stem cell senescence.,Mitochondrial Theory of Aging (Oxidative Stress Theory),"high (generally), low (in this paper)",full_text
10.1089/ars.2013.5228,The free radical theory of aging is dead. Long live the damage theory!,Cumulative Damage Theory of Aging,medium-high,full_text
10.1111/acel.70156,Avian Lifespan Network Reveals Shared Mechanisms and New Key Players in Animal Longevity.,Metabolism and Cell Cycle Control as Core Longevity Mechanisms,medium-high,full_text
10.4161/cc.28433,Genetics and epigenetics of aging and longevity.,Longevity Program Theory,medium-high,full_text
10.3390/biology8020040,Mitochondria and Aging-The Role of Exercise as a Countermeasure.,Mitochondrial-Lysosomal Axis Theory of Aging,medium-high,full_text
10.3390/biology8020040,Mitochondria and Aging-The Role of Exercise as a Countermeasure.,Exercise-Induced Mitochondrial Rejuvenation Theory,medium-high,full_text
10.1007/s10522-018-9748-6,"Mitochondria, its DNA and telomeres in ageing and human population.",Telomere-Mitochondrial Interplay Theory of Aging,medium-high,full_text
10.1111/brv.12328,Reproductive senescence: new perspectives in the wild.,Sequential nature of reproductive senescence theory,medium-high,full_text
10.1111/brv.12328,Reproductive senescence: new perspectives in the wild.,Trade-off theory in shaping reproductive senescence,medium-low,full_text
10.1155/2017/9175806,Epigenetics and Oxidative Stress in Aging.,Integrated Oxidative Stress and Epigenetic Aging Theory,medium-high,full_text
10.1016/s0306-9877(03)00201-9,Ageing purpose: another thrifty genotype.,Thrifty Genotype Theory of Aging,medium to high,full_text
10.1093/gerona/glr095,Aging biology and novel targets for drug discovery.,Sirtuin-Mediated Aging Regulation Theory,medium-high,full_text
10.1007/s11357-015-9831-8,Age-related cellular changes in the long-lived bivalve A. islandica.,Protein Maintenance Decline Theory of Aging,"high (as a theory), but low support in this paper",full_text
10.1007/s11357-015-9831-8,Age-related cellular changes in the long-lived bivalve A. islandica.,Telomere Shortening Theory of Aging,"high (as a theory), but low support in this paper",full_text
10.1038/s41598-018-24146-z,Calorie restriction is the most reasonable anti-ageing intervention: a meta-analysis of survival curves.,Free Radical Theory of Aging (briefly mentioned),"high (established theory, but low focus here)",full_text
10.3389/fphys.2019.01508,Are We Ill Because We Age?,Physiological Dysregulation Concept of Aging,medium-high,full_text
10.2147/COPD.S28250,"Geroprotectors as a novel therapeutic strategy for COPD, an accelerating aging disease.","Role of Anti-Aging Molecules (Sirtuins, HDACs, Klotho, SMP30) in Aging",medium-high,full_text
10.1038/srep26846,Transcriptome analysis of human ageing in male skin shows mid-life period of variability and central role of NF-κB.,Mid-Life Transcriptome Variability and Accelerated Damage Theory,medium-high,full_text
10.3389/fgene.2015.00057,"Genes and quantitative genetic variation involved with senescence in cells, organs, and the whole plant.",Epigenetic Regulation of Whole-Plant Senescence,low to medium,full_text
10.1371/journal.pone.0088128,"Early life hormetic treatments decrease irradiation-induced oxidative damage, increase longevity, and enhance sexual performance during old age in the Caribbean fruit fly.",Free Radical Theory of Aging (as Contextual Framework),high (as a known theory),full_text
10.1371/journal.pone.0088128,"Early life hormetic treatments decrease irradiation-induced oxidative damage, increase longevity, and enhance sexual performance during old age in the Caribbean fruit fly.",Mitohormesis,high (established theory),full_text
10.1016/j.mce.2008.10.044,Hungry for life: How the arcuate nucleus and neuropeptide Y may play a critical role in mediating the benefits of calorie restriction.,Calorie restriction (CR) lifespan extension theory mediated by hypothalamic neuropeptide Y (NPY),medium to high,full_text
10.1098/rspb.2006.0072,An empirical test of evolutionary theories for reproductive senescence and reproductive effort in the garter snake Thamnophis elegans.,Indeterminate growth theory for delayed or negligible senescence,medium-high,full_text
10.1371/journal.pone.0073318,Mitochondrial inverted repeats strongly correlate with lifespan: mtDNA inversions and aging.,Mitochondrial free radical theory of aging (discussed),"high (as a known theory, but low in this paper's focus)",full_text
10.1016/0531-5565(94)00045-5,The pineal gland and melatonin in relation to aging: a summary of the theories and of the data.,Melatonin as a Centralized Genetic Aging Clock Theory,medium-high,full_text
10.1016/0531-5565(94)00045-5,The pineal gland and melatonin in relation to aging: a summary of the theories and of the data.,Melatonin-Serotonin Ratio Theory of Aging,low-medium,full_text
10.1038/s43587-024-00619-x,Aging clocks based on accumulating stochastic variation.,Disposable Soma Theory (Referenced),high (as established theory),full_text
10.1016/j.maturitas.2009.12.008,"The molecular basis of longevity, and clinical implications.",Evolutionary Theories of Aging (briefly referenced),high (general knowledge),full_text
10.1038/s42003-025-08178-6,Systematic transcriptomics analysis of calorie restriction and rapamycin unveils their synergistic interaction in prolonging cellular lifespan.,Synergistic Interaction of Calorie Restriction and Rapamycin in Lifespan Extension,medium-high,full_text
10.1016/0197-4580(91)90112-w,New models for new perspectives in the biology of senescence.,Genetic and Epigenetic Control of Species-Specific Life Span and Senescence Patterns,medium-high,full_text
10.1534/g3.119.400618,Stress Resistance Screen in a Human Primary Cell Line Identifies Small Molecules That Affect Aging Pathways and Extend <i>Caenorhabditis elegans</i>' Lifespan.,FOXO3-mediated longevity pathway,"high (as a known theory), low (as focus of this paper)",full_text
10.1016/j.mad.2008.11.001,Transcript profiles of long- and short-lived adults implicate protein synthesis in evolved differences in ageing in the nematode Strongyloides ratti.,Insulin/IGF-1 signaling (IIS) pathway theory of aging,"high (as a general theory), but low relevance in this paper",full_text
10.1093/cvr/cvae124,Cardiac ageing: from hallmarks to therapeutic opportunities.,Activin Type II Receptor (ActRII) Signalling in Cardiac Ageing,medium-high,full_text
10.3390/ijms13089826,Molecular mechanisms of aging and immune system regulation in Drosophila.,JNK Signaling Pathway Theory of Aging,medium-high,full_text
10.18632/aging.100369,"Roles of FGF signaling in stem cell self-renewal, senescence and aging.",FGF Signaling Modulation of Aging via Cellular Senescence and Stem Cell Regulation,medium-high,full_text
10.1038/s41467-022-30045-9,"Identification of a modulator of the actin cytoskeleton, mitochondria, nutrient metabolism and lifespan in yeast.",Branched-Chain Amino Acid (BCAA) Metabolism Modulation of Actin and Aging Theory,medium-high,full_text
10.1016/s0047-6374(01)00341-4,Caloric restriction and lifespan: a role for protein turnover?,Caloric Restriction as a Modulator of Ageing via Protein Turnover,medium-high,full_text
10.1126/science.2392681,Increased life-span of age-1 mutants in Caenorhabditis elegans and lower Gompertz rate of aging.,Programmed aging via genetic pathways controlling mortality acceleration,medium-high,full_text
10.1016/j.mrfmmm.2008.08.005,"Telomeric chromatin: roles in aging, cancer and hereditary disease.",Telomeric Chromatin Structure and Epigenetic Regulation Theory,medium-high,full_text
10.1111/j.1474-9728.2004.00108.x,Regulation of aging and innate immunity in C. elegans.,Caloric Restriction and SIR-2.1 Mediated Longevity Pathway,medium-high,full_text
10.2741/e654,Tissue-specific implications of mitochondrial alterations in aging.,PGC-1 Coactivator Regulation of Mitochondrial Biogenesis and Aging,medium-high,full_text
10.1155/2016/6236309,Ageing-Associated Oxidative Stress and Inflammation Are Alleviated by Products from Grapes.,Oxidative Stress-Inflammation Interdependence Theory,medium-high,full_text
10.1016/j.ceb.2012.08.009,Reprogramming aging and progeria.,Cellular Senescence and Reprogramming Theory,medium-high,full_text
10.1093/ajcn/55.6.1208S,Apoptosis--programmed cell death: a role in the aging process?,Poly(ADP-ribosyl)polymerase (pADPRP) Activation and Aging,medium-high,full_text
10.1038/s41392-022-01211-8,Epigenetic regulation of aging: implications for interventions of aging and diseases.,Epigenetic Clock Theory of Aging,medium-high,full_text
10.18632/oncotarget.12572,Friend or foe: the dichotomous impact of T cells on neuro-de/re-generation during aging.,Protective Autoimmunity Theory,medium-high,full_text
10.24976/Discov.Med.202436188.163,"Inflammaging, Epigenetic Damage, Mitochondrial Dysfunctions, and Macrophage Alterations are the Main Missing Pieces in the Complex Mosaic of Stem Cell Physiology.",Macrophage alteration theory in aging,low to medium,abstract
